,Date,Oprice,MaxPrice,MinPrice,CPrice,SMA,std,diff,position,yield_Rate,strategy_return,return_cum,strategy_cum,index,Cumulative_Rate,drawdown,Max_drawdown,log_return,daily_Vlt,annual_Vlt
896,20110902,2828.8390000000004,2836.6240000000003,2790.7690000000002,2803.8540000000003,2835.9428,17.12955013303025,32.08879999999954,0,-0.010823997586905665,-0.0,0.5206685925970215,0.8239482687050552,896,772.8954293866097,0,0,0.01711549741931294,0,0
897,20110905,2780.8340000000003,2780.8340000000003,2743.383,2743.817,2814.1444,38.19411093139874,70.32740000000013,0,-0.021412313194624333,-0.0,0.5095198736217298,0.8239482687050552,897,773.7193776553148,0,0,0.019274155761051,0,0
898,20110906,2727.7490000000003,2745.36,2711.071,2723.303,2790.457,48.94717309508281,67.154,0,-0.007476446133251602,-0.0,0.5057104757327757,0.8239482687050552,898,774.5433259240199,0,0,-0.0040391249486837625,0,0
899,20110907,2738.789,2779.205,2730.055,2779.09,2776.9197999999997,40.050540018331866,-2.1702000000004773,0,0.02048505069028317,0.0,0.5160699804627689,0.8239482687050552,899,775.367274192725,0,0,-0.018107018287917727,0,0
900,20110908,2788.8320000000003,2789.112,2755.7990000000004,2756.105,2761.2337999999995,27.941798176924966,5.128799999999501,0,-0.008270692924662426,-0.0,0.5118017241267248,0.8239482687050552,900,776.19122246143,0,0,0.006720316856184908,0,0
901,20110909,2770.153,2796.3520000000003,2739.62,2751.095,2750.682,18.073913953540966,-0.4130000000000109,0,-0.0018177827042149541,-0.0,0.5108713798046198,0.8239482687050552,901,777.0151707301351,0,0,0.021052848510009763,0,0
902,20110913,2712.4429999999998,2726.185,2698.66,2720.283,2745.9752,21.906770518723285,25.692199999999957,0,-0.011199904038210251,-0.0,0.50514966937494,0.8239482687050552,902,777.8391189988401,0,0,-0.006179339761081307,0,0
903,20110914,2729.256,2736.905,2677.127,2733.1079999999997,2747.9361999999996,20.158579070956474,14.828199999999924,0,0.004714583004783002,0.0,0.5075312394210468,0.8239482687050552,903,778.6630672675452,0,0,-0.001938575315444311,0,0
904,20110915,2734.552,2754.1929999999998,2728.905,2729.051,2737.9284,13.54365365180314,8.877399999999852,0,-0.0014843906644010918,-0.0,0.5067778647873583,0.8239482687050552,904,779.4870155362503,0,0,-0.0035285328746821206,0,0
905,20110916,2744.218,2755.889,2728.995,2733.987,2733.5047999999997,10.044475424829278,-0.48220000000037544,0,0.0018086873422300531,0.0,0.5076944674967215,0.8239482687050552,905,780.3109638049553,0,0,0.009482846094368906,0,0
906,20110919,2718.3179999999998,2718.3179999999998,2678.795,2679.27,2719.1398,20.51677217692878,39.86979999999994,0,-0.0200136284481236,-0.0,0.4975336590590742,0.8239482687050552,906,781.1349120736604,0,0,0.01604785169261114,0,0
907,20110920,2675.0429999999997,2702.28,2664.1,2689.845,2713.0522,23.563844061612702,23.207200000000284,0,0.003946970630059665,0.0,0.4994974097988465,0.8239482687050552,907,781.9588603423655,0,0,-0.00620788079209013,0,0
908,20110921,2691.7009999999996,2778.353,2677.349,2771.011,2720.6328000000003,33.002829081156094,-50.37819999999965,0,0.03017497290736082,0.0,0.5145697306068235,0.8239482687050552,908,782.7828086110705,0,0,-0.019660925383708817,0,0
909,20110922,2745.1459999999997,2754.917,2684.94,2685.688,2711.9602,35.27077157874493,26.272199999999884,0,-0.030791288811195527,-0.0,0.4987254654182098,0.8239482687050552,909,783.6067568797756,0,0,0.037430150194359454,0,0
910,20110923,2644.2940000000003,2681.2270000000003,2631.425,2669.478,2699.0584,36.626252391419996,29.580399999999827,0,-0.006035697370655124,-0.0,0.4957153094379063,0.8239482687050552,910,784.4307051484807,0,0,-0.00035957765326861,0,0
911,20110926,2645.245,2679.56,2603.1079999999997,2610.919,2685.3882,51.28355104475511,74.4692,0,-0.021936498446512798,-0.0,0.4848410513225091,0.8239482687050552,911,785.2546534171858,0,0,0.003908970029690933,0,0
912,20110927,2634.925,2652.56,2613.423,2637.8790000000004,2674.995,54.4925334812027,37.11599999999953,0,0.010325866103084946,0.0,0.48984745509974426,0.8239482687050552,912,786.0786016858908,0,0,-0.007525903921914547,0,0
913,20110928,2654.83,2660.099,2602.63,2610.59,2642.9108000000006,30.427399976994444,32.32080000000042,0,-0.010345053734458709,-0.0,0.48477995685504954,0.8239482687050552,913,786.9025499545959,0,0,0.023349558780856042,0,0
914,20110929,2593.5589999999997,2615.144,2577.286,2588.185,2623.4102,27.902654679438726,35.22519999999986,0,-0.00858235111603134,-0.0,0.48061940505130496,0.8239482687050552,914,787.726498223301,0,0,-0.0007797051968675414,0,0
915,20110930,2595.5820000000003,2607.5660000000003,2572.1929999999998,2581.351,2605.7848000000004,19.931137312256016,24.433800000000247,0,-0.0026404603998554377,-0.0,0.4793503485448649,0.8239482687050552,915,788.550446492006,0,0,0.002790548212817643,0,0
916,20111010,2588.349,2595.324,2552.284,2557.0820000000003,2595.0174,27.39404817547055,37.935399999999845,0,-0.009401666026820799,-0.0,0.47484365665800593,0.8239482687050552,916,789.3743947607111,0,0,-0.014122768638599863,0,0
