Date,Oprice,MaxPrice,MinPrice,CPrice
20081219,2037.369,2075.384,2033.112,2052.114
20081222,2050.77,2055.366,1993.326,2017.549
20081223,2019.231,2019.231,1918.432,1918.955
20081224,1893.225,1912.775,1872.647,1887.075
20081225,1891.526,1902.714,1848.708,1870.765
20081226,1868.344,1881.077,1850.502,1862.096
20081229,1852.413,1861.302,1816.059,1854.757
20081230,1852.949,1867.408,1824.528,1833.435
20081231,1835.105,1844.416,1813.726,1817.722
20090105,1848.326,1882.959,1837.839,1882.959
20090106,1880.672,1948.489,1873.011,1942.795
20090107,1942.671,1959.246,1930.868,1931.178
20090108,1894.664,1902.796,1873.648,1887.991
20090109,1886.488,1923.423,1886.488,1918.365
20090112,1911.736,1947.083,1905.617,1920.687
20090113,1892.655,1908.196,1874.974,1876.185
20090114,1873.626,1955.244,1873.626,1955.244
20090115,1935.386,1977.191,1930.295,1954.874
20090116,1965.44,2026.647,1965.44,1990.214
20090119,2010.579,2052.19,1993.95,2012.465
20090120,2006.525,2025.19,1986.061,2025.19
20090121,1993.67,2047.105,1988.241,2021.71
20090122,2034.286,2048.484,2012.738,2044.551
20090123,2039.522,2054.326,2025.188,2032.682
20090202,2052.439,2059.338,2029.717,2057.063
20090203,2056.795,2108.944,2049.889,2108.91
20090204,2118.563,2166.414,2117.024,2166.414
20090205,2164.546,2211.179,2135.67,2150.971
20090206,2158.084,2240.021,2158.084,2237.28
20090209,2271.593,2307.907,2257.49,2296.672
20090210,2288.071,2327.1,2263.532,2326.755
20090211,2287.232,2381.193,2275.574,2331.138
20090212,2335.401,2344.659,2248.484,2318.343
20090213,2321.56,2402.436,2307.09,2399.065
20090216,2421.187,2462.389,2397.181,2462.245
20090217,2460.569,2470.623,2384.787,2385.293
20090218,2331.662,2369.053,2272.505,2275.843
20090219,2295.653,2324.675,2259.593,2298.412
20090220,2300.806,2344.77,2276.298,2344.32
20090223,2333.809,2419.533,2307.921,2410.481
20090224,2376.697,2411.906,2294.522,2301.849
20090225,2325.039,2337.423,2226.444,2304.251
20090226,2295.426,2332.346,2167.149,2190.185
20090227,2164.54,2186.819,2117.061,2140.489
20090302,2123.367,2177.294,2112.336,2164.666
20090303,2109.841,2168.222,2100.644,2142.154
20090304,2150.239,2290.94,2150.239,2285.149
20090305,2314.079,2340.371,2259.8,2304.919
20090306,2260.756,2313.2,2255.818,2286.576
20090309,2302.011,2333.98,2198.545,2202.527
20090310,2175.306,2241.238,2168.324,2240.782
20090311,2288.053,2292.396,2212.882,2220.38
20090312,2208.041,2220.303,2156.598,2215.7
20090313,2229.25,2250.239,2200.974,2205.422
20090316,2197.248,2247.11,2180.051,2241.614
20090317,2244.11,2329.298,2239.668,2322.403
20090318,2335.417,2370.558,2328.856,2332.652
